jd_id,url,company,company_type,business_model,role_specific,title_observed,years_required,band_label_user,band_final,scope_signals,tasks_raw,skills_hard_raw,skills_soft_raw,certs,degree_requirement,work_env_signals,salary_posted,captured_at,note
FE26,<<<ĐIỀN>>>,Money Forward Vietnam,bigtech_fdi,product_inhouse,frontend,Principal Frontend Engineer,5+ years frontend VOI 2+ years leadership,L7,L7 ⚠,Develop COMPANY-WIDE STANDARDS for development processes; Perform regular TECHNICAL AUDIT; COACH AND MENTOR MIDDLE/SENIOR DEVELOPERS; Experience of TRAINING middle/senior developers,"Phân tích yêu cầu, đề xuất và hiện thực giải pháp cho dự án; Kiến trúc và phát triển thư viện/framework dùng chung xử lý thiết kế và tương tác phức tạp; Tối ưu ứng dụng web về tốc độ và khả năng mở rộng; Xử lý vấn đề UI/UX và đề xuất cải tiến; Xây dựng chuẩn phát triển cho toàn công ty; Thực hiện technical audit định kỳ; Coach và mentor lập trình viên middle/senior","JavaScript; TypeScript; React và/hoặc Vue.JS; HTML/CSS (SASS/LESS); Jest/Mocha/Ava; architectural patterns cho CSS và JavaScript; web security; UI/UX sense; web performance optimization + SEO; nice: Golang/RoR/Laravel/Django, CI/CD, Docker, Kubernetes, AWS/GCP/Azure",good English communication; kinh nghiệm đào tạo middle/senior developer,KHONG_NHAC (nice: tiếng Nhật N3+),KHONG_NHAC,"T2-T6, giờ bắt đầu linh hoạt 8-9h sáng; không thử việc cho vị trí kỹ thuật mọi cấp; MacBook Pro",KHONG_NHAC (sign-on bonus 1 tháng lương gross),2026-08-22,Principal chỉ cần 5+ năm — so với ANDPAD (FE20) đòi 8+ năm cho cùng title. Chênh lệch định nghĩa Principal rất lớn giữa hai công ty Nhật
FE27,https://www.linkedin.com/jobs/view/4338759111/,Moatable,bigtech_fdi,product_inhouse,frontend,Senior Frontend Engineer,KHONG_NHAC,L5,L5,PARTICIPATING DESIGN the front end architecture; Propose innovative technical solutions to HARD BUSINESS PROBLEMS; improve yourself and MAKE THE TEAM MEMBERS AROUND YOU BETTER,"Phối hợp với PM, UI, backend engineer, QA để mang lại trải nghiệm liền mạch; Tham gia thiết kế kiến trúc frontend, phối hợp backend để phát triển giải pháp sản phẩm; Đề xuất giải pháp kỹ thuật cho bài toán nghiệp vụ khó; Nắm LLM và AI Agent framework","HTML/CSS/JavaScript/TypeScript; React (dự án hoàn chỉnh); Webpack/Babel/Vite/Turbo/Lerna/Next.js/Vue; Node.js (có kinh nghiệm backend); state management (Redux/MobX/Observable/React Hooks/Zustand/Recoil); nice: AI bots, LangChain/Llama-Index, containerization, serverless",curiosity and passion; liên tục học và nâng người xung quanh,KHONG_NHAC,KHONG_NHAC,onsite (có on-site bonus 2.5 triệu/tháng),KHONG_NHAC (base + on-site bonus 2.5tr/tháng + phụ cấp 0.5-1.5tr theo thâm niên),2026-08-22,"'No outsourcing - we build & innovate in-house'. Danh sách tooling rộng bất thường (Turbo, Lerna) gợi ý monorepo"
FE28,https://www.linkedin.com/jobs/view/senior-frontend-engineer-reactjs-at-nab-innovation-centre-vietnam-4294965397/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,frontend,Senior Frontend Engineer (ReactJS),5+ years,L5,L5,take ACCOUNTABILITY for the design and delivery of NAB's transformed digital platforms; providing technical contribution throughout ALL PHASES of the software delivery life cycle,"Thiết kế, phát triển, review, hiện thực và quản lý code và dịch vụ ReactJS cho production và pre-release; Thiết kế và quản lý continuous integration, build management, deployment script; Tham gia Agile, prototyping, code review với đội quốc tế để xây sản phẩm microservices; Hiểu yêu cầu khách hàng/nghiệp vụ và vận dụng vào phát triển ứng dụng; Phối hợp delivery team qua CI/CD và DevOps","JavaScript ES6/TypeScript + ReactJS; nice React Native/NodeJS; HTML5/CSS3/Bootstrap/Foundation/JQuery/JSON gồm accessibility và security; build pipeline (Git, Webpack, Gulp, NPM); Mocha/Chai/Jest; Agile Scrum; nice: AWS/GCP/Azure, CI/CD tooling, RESTful/GraphQL, microservices",good English communication verbal và written trong môi trường phát triển toàn cầu,KHONG_NHAC,KHONG_NHAC,hybrid working model; 20 ngày phép + 7 ngày ốm; có khoá tiếng Anh với giáo viên bản ngữ; cơ hội training tại Úc,KHONG_NHAC,2026-08-22,Phúc lợi ghi rõ 'Clear roadmap for career advancement in BOTH TECHNICAL AND LEADERSHIP PATHWAYS' — bằng chứng nhánh IC/Management
FE29,https://www.linkedin.com/jobs/view/4451640547/,NAB Innovation Centre Vietnam (Banked - Payments),enterprise_bank,product_inhouse,fullstack (FE + Golang),"Senior Full-Stack Engineer (ReactJS, Golang) - Payments",KHONG_NHAC,L5,L5,"You'll PARTICIPATE IN THE DIRECTION of the company and products, part of a small team where everyone has a voice; IMPROVE ENGINEERING STANDARDS, tooling and processes as we grow; Be part of the team EVOLVING ARCHITECTURE and design of our software stack; MENTOR AND HELP GROW your peers and junior engineers, as well as BE OPEN TO FEEDBACK AND MENTORING from those around you","Phối hợp engineer, PM, designer để ưu tiên, xây dựng, đo lường và lặp tính năng mới; Xây API và dịch vụ; Xây giao diện có thể nhúng vào hệ thống khách hàng, tập trung hiệu năng web và accessibility; Cải thiện chuẩn kỹ thuật, tooling và quy trình; Tham gia phát triển kiến trúc; Mentor và giúp đồng nghiệp cùng junior phát triển","Golang; JavaScript/TypeScript + Next.js/LitElement; TailwindCSS; Docker/Kubernetes; Terraform (IaC); HTTP + gRPC API; nice: payments/fintech, DevOps CI/CD observability, Figma",fluent English; product mindset; giao tiếp và xây dựng môi trường làm việc hoà nhập,KHONG_NHAC (có chương trình CQiB - chứng chỉ nghiệp vụ ngân hàng),KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"Cụm 'be open to feedback and mentoring from those around you' — mentor hai chiều, khác với L6/L7 chỉ mentor một chiều"
FE30,https://www.linkedin.com/jobs/view/senior-frontend-developer-at-nab-innovation-centre-vietnam-4280719405/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,frontend,Senior Frontend Developer,4 years+,L5,L5,"Collaborate with other NAB's TECHNOLOGY LEADERS towards improving and fulfilling the NAB TECHNICAL DIRECTION; PEER REVIEWS of others code, and the ABILITY TO RECOMMEND CHANGES AND CHALLENGE DECISIONS","Phối hợp với các technology leader của NAB để cải thiện và hiện thực định hướng kỹ thuật; Thiết kế, phát triển, review, hiện thực và quản lý code React.js cho production và pre-release; Tham gia Agile, prototyping, code review với đội quốc tế; Phối hợp delivery team qua CI/CD và DevOps; Peer review code người khác, đề xuất thay đổi và phản biện quyết định","JavaScript ES6/TypeScript + React.js (hoặc Angular/Vue); HTML5/CSS3/Bootstrap/Foundation/JQuery/JSON gồm accessibility và security; AWS; Selenium/Mocha/Chai/Jest; Agile; nice: ngành ngân hàng/tài chính, chứng chỉ IT/Business/CS",strong English communication verbal và written,"nice-to-have: bất kỳ chứng chỉ hoặc đào tạo thêm về IT, Business, CS",KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"NAB dùng 4+ năm ở JD này nhưng 5+ năm ở FE28, cùng band Senior. Ngưỡng Senior không nhất quán trong cùng một công ty"
FE31,https://www.linkedin.com/jobs/view/lead-frontend-engineer-reactjs-at-nab-innovation-centre-vietnam-4336815951/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,frontend,Lead Frontend Engineer (ReactJS),5+ years,L6,L6 ⚠ (noi dung trung khop 100% voi FE28 - Senior),TRUNG NGUYEN VAN VOI FE28. Không có bất kỳ tín hiệu lead/coach/quản lý team nào dù title là Lead,(TRUNG NGUYEN VAN FE28 - Senior Frontend Engineer ReactJS),(TRUNG NGUYEN VAN FE28),(TRUNG NGUYEN VAN FE28),KHONG_NHAC,KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"PHAT HIEN QUAN TRONG: JD 'Lead' và JD 'Senior' của cùng NAB giống nhau từng chữ, kể cả yêu cầu 5+ năm. Title khác, nội dung y hệt. KHÔNG dùng JD này làm bằng chứng cho L6"
FE32,https://www.linkedin.com/jobs/view/lead-frontend-engineer-fullstack-hicaps-at-nab-innovation-centre-vietnam-4379004018/,NAB Innovation Centre Vietnam (HICAPS),enterprise_bank,product_inhouse,frontend (fullstack),Lead Frontend Engineer (Fullstack) - HICAPS,Ideally 8+ years frontend VOI 2+ years in leadership role,L6,L6,"FREEDOM TO MAKE ARCHITECTURAL AND CODE-LEVEL DECISIONS about the component you are working on. HIGH LEVEL SOLUTION ARCHITECTURE DECISIONS WILL BE PROVIDED; Collaborate with other NAB's technology leaders towards fulfilling the NAB technical direction; Peer reviews of others code, ability to recommend changes and CHALLENGE DECISIONS; Experience in LEADING AND COACHING AT LEAST ONE SOFTWARE ENGINEER TEAM on various projects","Phối hợp với technology leader của NAB về định hướng kỹ thuật; Thiết kế, phát triển, review và quản lý code ReactJS cho production; Thiết kế và quản lý CI, build management, deployment script; Tự do ra quyết định kiến trúc ở cấp component (kiến trúc giải pháp tổng thể do cấp trên cung cấp); Peer review và phản biện quyết định của người khác","ES6/TypeScript + React.js; MOT backend (Java/Nodejs/.NET); HTML5/CSS3/Bootstrap/Foundation/JQuery/JSON; CI/CD pipeline; build pipeline (Git, Webpack, Gulp, NPM); AWS Serverless + Containers (ECS, K8s, Docker) + FaaS (Lambda); RESTful/GraphQL + microservices; Agile",strong English communication; kinh nghiệm dẫn dắt và coaching ít nhất một đội kỹ sư phần mềm,nice-to-have: chứng chỉ IT/Business/CS,KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"JD L6 THUC SU DUY NHAT trong toàn bộ 37 mẫu. Ranh giới quyền quyết định được viết rõ ràng nhất: tự quyết ở cấp component, kiến trúc tổng thể do người khác đưa xuống"
FE33,https://www.linkedin.com/jobs/view/4377417731/,NVIDIA (Xlogs team),bigtech_fdi,product_inhouse,frontend,Software Engineering Intern (web services & dashboards),KHONG_NHAC (đang học),L1,L1,"Working closely with product managers, UX designers, and SENIOR ENGINEERS to understand requirements, PARTICIPATE IN CODE REVIEWS; assume responsibility for their project deliverables","Thiết kế và hiện thực tính năng dashboard mới bằng React và TypeScript; Chuyển wireframe và prototype từ designer thành component responsive, pixel-perfect; Xác định, xử lý và sửa lỗi, tối ưu hiệu năng component, duy trì sức khoẻ codebase; Tích hợp và tiêu thụ web API để hiển thị và thao tác dữ liệu động; Dựng nhanh prototype để thử ý tưởng và thu phản hồi người dùng","HTML/CSS/JavaScript nền tảng; TypeScript (proficiency); React (strongly preferred); RESTful API + lập trình bất đồng bộ; nice: Git, npm/yarn, testing frameworks, responsive design, CSS-in-JS/Sass, Node.js/Express, SQL/NoSQL",curious and proactive mindset; initiative; viết code sạch và tự chịu trách nhiệm sản phẩm bàn giao; excellent problem-solving và communication,KHONG_NHAC,"Currently enrolled in Bachelor's OR MASTER'S in CS, Software Engineering, or related technical field",KHONG_NHAC,KHONG_NHAC,2026-08-22,"JD intern FRONTEND THUAN chi tiết nhất trong bộ — làm trên ứng dụng production thật, không phải dự án tập"
FE34,https://www.linkedin.com/jobs/view/4446978789/,One Mount,product_local,product_inhouse,frontend,Front End Developer (ReactJS),4+ years (VOI 1+ nam leading/mentoring frontend engineer neu ung tuyen vi tri Lead),L4,L4,Be a KEY MEMBER of a team of front end engineers; Maintain excellent coding standards and practices; TRAINING FOR FRESHER/JUNIOR DEVELOPER; Partner with backend teams to HELP SHAPE API ENDPOINTS,"Phối hợp PM và Designer để thiết kế và hiện thực thế hệ sản phẩm tiếp theo; Xây dựng và viết unit test cho tính năng mới; Phối hợp đội backend để định hình API endpoint; Làm việc với đội UX để bàn giao chức năng quan trọng; Duy trì chuẩn code; Đào tạo lập trình viên fresher/junior; Thiết kế, phát triển, review và quản lý code ReactJS cho production","JavaScript/TypeScript ES6 + ReactJS; REST API; HTML5/CSS3 responsive gồm accessibility, SEO, security; NextJS SSR/SSG; React Query hoặc SWR; Tailwind + CSS module; build pipeline (Git, Webpack, Gulp, NPM); Jest/React Testing Library/MSW/faker; clean code, SOLID, design pattern (container/presentational, HOC, render props); Agile Scrum",excellent problem-solving và analytical skills (must),KHONG_NHAC (có tài trợ chứng chỉ),KHONG_NHAC,"onsite, không gian mở; thuộc hệ sinh thái Techcombank & Masterise","KHONG_NHAC (lunch allowance 730k/tháng, special occasion 2.5tr/năm, lương tháng 13)",2026-08-22,Phúc lợi ghi rõ 'Diverse career path: MANAGEMENT OR EXPERT and functions rotation' — tuyên bố hai nhánh IC/Management rõ ràng nhất trong bộ
FE35,https://www.linkedin.com/jobs/view/4440956024/,what3words,bigtech_fdi,product_inhouse,frontend,Senior Engineer - Front End,KHONG_NHAC,L5,L5,"work closely with product and UX teams, RECEIVING AND INPUTTING ON DESIGNS AND FEASIBILITY CHECKS, bringing fresh ideas; able to WORK INDEPENDENTLY, self-motivate, keep calm under pressure","Phát triển map site, hệ thống quản lý tài khoản và các website hỗ trợ sản phẩm; Xây giao diện trên nền RESTful web API bằng React, JavaScript, CSS; Phối hợp product và UX team, phản hồi về thiết kế và tính khả thi","ES6; TypeScript; React; HTML; CSS; responsive cho desktop/tablet/mobile; nice: Next.js, Google Maps/Leaflet, GIS, AWS, Kubernetes",excellent verbal và written English; passion for software engineering và continuous learning,KHONG_NHAC,KHONG_NHAC,"hybrid HCMC, tối đa 2 ngày WFH/tuần; CHINH SACH 6 TUAN LAM VIEC TU BAT KY DAU tren the gioi mỗi năm","$3,000 - $3,500/thang",2026-08-22,JD DUY NHAT trong 37 mẫu công bố lương. ~76-89 triệu VND/tháng cho band L5. Danh sách skill bắt buộc ngắn bất thường so với các JD L5 khác
FE36,https://www.linkedin.com/jobs/view/4422480833/,Xenith (B2B fintech payments),bigtech_fdi,product_inhouse,frontend,"Senior Software Engineer, Frontend","5+ years, trong do 2+ nam Angular",L5,L5,"GUIDE AND MENTOR junior and mid-level engineers, providing TECHNICAL LEADERSHIP through code reviews, design discussions, and pairing sessions; LEAD BY EXAMPLE in enforcing clean architecture; ESTABLISH design systems, component libraries, and THE VISUAL QUALITY BAR across applications; Has OWNED FRONTEND INCIDENTS end-to-end including post-mortem","Thiết kế, phát triển và bảo trì ứng dụng frontend bằng Angular và TypeScript; Tích hợp API thanh toán và xử lý ca biên như phản hồi mơ hồ hoặc chậm; Xây và bảo trì component library và design system; Viết unit/component/E2E test cho mọi tính năng mới; Hướng dẫn và mentor kỹ sư junior và mid-level; Xác định và xử lý nút thắt hiệu năng; Xây phần mềm có tính bảo mật và tuân thủ, giữ kỷ luật phạm vi PCI-DSS","ANGULAR (change detection, RxJS, standalone components, signals, DI); TypeScript strict-mode; SSR + hydration + performance budget; esbuild/Vite/Webpack; frontend security (CSP, XSS, third-party SDK sandboxing); Cypress/Playwright; Figma; ĐÃ TỪNG dẫn dắt một đợt nâng cấp Angular lớn trên production; ĐÃ TỪNG sở hữu sản phẩm thanh toán end-to-end",clear technical communication in English; viết tài liệu component library,"KHONG_NHAC (PCI-DSS là chuẩn tuân thủ, không phải chứng chỉ cá nhân)",KHONG_NHAC,KHONG_NHAC,KHONG_NHAC,2026-08-22,"JD DUY NHAT lay Angular lam cong nghe chinh. Yêu cầu đặc thù nhất bộ: đã dẫn dắt migration Angular lớn, đã sở hữu incident end-to-end kèm post-mortem"
FE37,https://www.linkedin.com/jobs/view/zalo-tech-fresher-2026-at-zalo-4410541085/,Zalo (VNG),product_local,product_inhouse,frontend (track Client Engineering),Zalo Tech Fresher 2026,Tot nghiep 2026 hoac duoi 1 nam kinh nghiem full-time,L1,L2,Chương trình 12 tuần: 1 tuần orientation + 11 tuần project mentoring; ĐƯỢC PHÂN VÀO MỘT ĐỘI và làm việc sát với mentor có kinh nghiệm; personalized mentorship from senior engineers,"Track Client Engineering (Mobile & Frontend): học cách xây ứng dụng hướng người dùng hiệu năng cao trên Mobile và Frontend, tạo trải nghiệm liền mạch, hiểu cách hệ thống client tương tác với backend quy mô lớn",nền tảng lập trình vững; DSA; tư duy logic tốt,self-motivated; fast learner; can-do attitude; đam mê tạo sản phẩm chất lượng cao,KHONG_NHAC,"Bachelor's HOAC Master's in CS, Software Engineering, AI hoặc ngành liên quan; GPA TOI THIEU 7.5/10 hoac 3.0/4; ưu tiên thành tích học thuật cao hoặc ICPC/APM",full-time hoặc part-time tối thiểu 3-4.5 ngày/tuần; chương trình có thời hạn 12 tuần,KHONG_NHAC,2026-08-22,"LAP DAY BAND L2. JD DUY NHAT co nguong GPA (7.5/10). Là chương trình fresher thật, không phải intern"
FE38,https://vn.indeed.com/viewjob?jk=721e526904d83676,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,frontend/mobile (quan ly),Engineering Manager (Frontend/Mobile),5+ nam Mobile hoac ReactJS; 5+ API/microservices/BFF; 3+ Cloud; 3+ CI-CD tooling,EM,"L7 (nhanh Management, van hands-on)","Proven experience in Engineering Manager / Technical Lead roles WITH HANDS-ON TECHNICAL CONTRIBUTION; Demonstrated leadership capability to GUIDE, MENTOR AND UPLIFT engineers AND PRODUCTION SUPPORT ANALYSTS in a blended team model; Proven ability to LEAD AND ACTIVELY CONTRIBUTE to complex incident management, triage và xử lý sự cố Sev1/Sev2; Strong stakeholder communication particularly DURING INCIDENTS, delivery execution, and RISK ESCALATION; van hành theo mô hình 'You Build It, You Run It'; KHONG co line management, KHONG co performance review","Dẫn dắt và trực tiếp tham gia xử lý sự cố phức tạp Sev1/Sev2 trong môi trường high-availability; Hướng dẫn và nâng năng lực kỹ sư cùng production support analyst trong mô hình đội hỗn hợp; Định nghĩa và nâng cấp framework observability (alert, dashboard, threshold) để phát hiện sớm; Dẫn dắt BAU delivery gồm ưu tiên backlog, xử lý defect, cải tiến nhỏ và nâng cấp theo quy định; Thúc đẩy cải tiến liên tục qua tự động hoá để giảm thao tác thủ công và sự cố lặp lại; Giao tiếp với stakeholder trong lúc có sự cố và khi escalate rủi ro","React JS + Mobile (React Native ưu tiên); API/BFF/microservices (Node.js); AWS; CI/CD (Jenkins, Harness); observability (Splunk, AppDynamics, OpenSearch, Grafana); release automation; AI-assisted dev tools (Copilot, Cursor) để tăng tốc debug và root cause analysis; nguyên tắc 'configuration over customisation'",stakeholder communication khi có sự cố và khi escalate rủi ro; phân biệt root cause và triệu chứng; làm việc trong squad cross-functional,KHONG_NHAC (có tài trợ chứng chỉ IT và ngân hàng/tài chính),KHONG_NHAC,"hybrid working model; mô hình 'You Build It, You Run It' — hàm ý trực sự cố; KHONG ghi ro ca kip",KHONG_NHAC,2026-08-22,JD EM DUY NHAT gan voi frontend. Vẫn yêu cầu 5+ năm hands-on React. Là JD ĐẦU TIÊN trong toàn bộ 40 mẫu nhắc tới trực sự cố và vận hành production
FE39,https://www.linkedin.com/jobs/view/engineering-manager-ai-at-nab-innovation-centre-vietnam-4425578566/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,generic SWE (quan ly),Engineering Manager (AI),KHONG_NHAC,EM,L7-L8 (nhanh Management),"LEADING ONE OR MORE ENGINEERING SQUADS to plan, deliver and support enterprise technology solutions; ACCOUNTABLE FOR MANAGING the AI engineering squad; Partnering closely with Program Delivery Manager và stakeholder cấp cao; PEOPLE LEADERSHIP and ability to BUILD HIGH-PERFORMING TEAMS; Able to NAVIGATE A LARGE COMPLEX ORGANISATION and build relationships with SENIOR STAKEHOLDERS; KHONG co yeu cau hands-on coding","Dẫn dắt một hoặc nhiều squad kỹ sư để lập kế hoạch, bàn giao và vận hành giải pháp công nghệ cấp doanh nghiệp; Quản lý squad AI để đưa giải pháp AI vào sản xuất; Phối hợp với Delivery Manager và stakeholder để biến cơ hội thành giải pháp chạy được ở production; Đảm bảo kỷ luật kỹ thuật: thiết kế bảo mật, khả năng kiểm toán, khả năng kiểm thử, tuân thủ chuẩn tổ chức; Xây dựng văn hoá cải tiến liên tục và áp dụng AI có trách nhiệm trong squad","CI/CD, testing, security, auditability; tích hợp năng lực AI (automation, decision support, intelligent workflow) vào hệ thống sẵn có; project management/agile tooling; data-driven problem solving",excellent communication và stakeholder engagement; people leadership; change management; điều hướng tổ chức lớn phức tạp,KHONG_NHAC,KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"Khác FE38 rõ rệt: KHÔNG yêu cầu hands-on coding, trọng tâm chuyển sang quản trị rủi ro, tuân thủ và quan hệ stakeholder cấp cao"
FE40,https://www.linkedin.com/jobs/view/engineering-manager-ho-chi-minh-at-nab-innovation-centre-vietnam-4118339816/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,generic SWE (quan ly),Engineering Manager - Ho Chi Minh,10+ nam Software Development; 5+ nam dan dat doi Agile cross-functional,EM,"L8 (nhanh Management, line management day du)","LINE MANAGEMENT: 1:1 meeting, personal development & training plan, CAREER PATH, PROBATION REVIEWS, PERFORMANCE REVIEWS; accountable for executing THE PEOPLE LEADER FUNDAMENTALS; Manage engineers' responsibilities and PERFORMANCE MANAGEMENT; Manage MULTI-Agile teams; 'Be the voice of reason between speed and quality'; Evangelist of the T-shaped working model, coach engineers to take responsibility outside their core disciplines","Quản lý nhiều đội Agile về chuẩn kỹ thuật, sprint backlog, trách nhiệm và hiệu suất của kỹ sư, chất lượng code; Quản lý cột mốc, sản phẩm bàn giao, rủi ro và phụ thuộc của các đội kỹ sư; Đào tạo đội và đảm bảo phát hành lên production tuân thủ khung quản trị rủi ro; Line management: họp 1:1, kế hoạch phát triển cá nhân, lộ trình nghề nghiệp, đánh giá thử việc và đánh giá hiệu suất; Coach đội áp dụng Scrum và DevOps; Dẫn dắt sáng kiến cải tiến quy trình phát triển và bàn giao","Moi truong ky thuat: microservices, Java/JavaScript/Node.js/ReactJS+Redux, Postgres/MongoDB, Jenkins/Artifactory/SonarQube/GitHub/CloudFormation, AWS+Azure; SDLC (Scrum, Kanban, Waterfall); IT Service Management (Release Management, ServiceNow); code và change management process","fluent English; people leadership, team building, motivation, coaching; stakeholder management; giao tiếp ở cả cấp chiến lược lẫn vận hành",nice-to-have: Certified Scrum Master; kinh nghiệm ngành ngân hàng/tài chính,KHONG_NHAC,hybrid working model,KHONG_NHAC,2026-08-22,"JD co tin hieu nhanh Management RO RANG NHAT trong bo: line management day du kem danh gia hieu suat va lo trinh nghe nghiep. Công nghệ chỉ liệt kê như 'môi trường kỹ thuật', không phải yêu cầu hands-on"
